plant_id,scientific_name,synonym_scientific_name,common_name,family,light_requirement_level,min_lux,max_lux,watering_frequency_days,min_temp_celsius,max_temp_celsius,ideal_humidity_percent,is_toxic_to_dogs,is_toxic_to_cats,toxicity_status,care_confidence,common_name_en,native_range,gbif_source_url
66,Bougainvillea glabra,,Paper Flower,Nyctaginaceae,Direct Sun,5000,15000,10,15,35,40,0,0,aspca_verified,high,Bougainvillea,South America,https://www.gbif.org/species/5384862
67,Hibiscus rosa-sinensis,,Chinese Hibiscus,Malvaceae,Direct Sun,4000,12000,5,15,32,60,1,1,aspca_verified,high,China-rose,Asia,https://www.gbif.org/species/3152559
68,Pachira aquatica,,Money Tree,Malvaceae,Bright Indirect,1500,5000,7,16,30,55,0,0,aspca_verified,high,Guiana-Chestnut,Colombia,https://www.gbif.org/species/3152235
69,Cyclamen persicum,,Florist's Cyclamen,Primulaceae,Bright Indirect,1500,4000,7,10,20,50,1,1,aspca_verified,high,Common Cyclamen,Mediterranean,https://www.gbif.org/species/3169317
70,Aphelandra squarrosa,,Zebra Plant,Acanthaceae,Medium to Bright,1000,3500,6,16,28,65,0,0,aspca_verified,medium,Zebra-plant,Brazil,https://www.gbif.org/species/7263987
71,Justicia brandegeeana,,Shrimp Plant,Acanthaceae,Bright Indirect,2000,6000,6,16,28,65,,,unknown,medium,Honolulu-salvia,Mexico,https://www.gbif.org/species/3173122
72,Ruellia makoyana,,Monkey Plant,Acanthaceae,Medium to Bright,1000,3500,6,16,28,65,,,unknown,medium,Monkey-plant,Brazil,https://www.gbif.org/species/8029019
73,Strobilanthes auriculata dyeriana,Strobilanthes dyerianus,Persian Shield,Acanthaceae,Bright Indirect,2000,6000,6,16,28,65,,,unknown,medium,Persian shield,Myanmar,https://www.gbif.org/species/3768968
91,Alocasia cuprea,,Mirror Plant,Araceae,Bright Indirect,2000,6000,7,16,30,55,1,1,aspca_genus_inferred,low,giant caladium,Borneo,https://www.gbif.org/species/5329958
92,Alocasia macrorrhizos,,Giant Taro,Araceae,Bright Indirect,2000,6000,7,16,30,55,1,1,aspca_genus_inferred,low,Giant taro,Southern Asia,https://www.gbif.org/species/5329904
93,Alocasia reginula,,Black Velvet Alocasia,Araceae,Medium to Bright,1000,3500,7,16,30,55,1,1,aspca_genus_inferred,low,Black Velvet Alocasia,Borneo,https://www.gbif.org/species/5329895
96,Anthurium crystallinum,,Crystal Anthurium,Araceae,Bright Indirect,2000,6000,7,16,30,55,1,1,aspca_genus_inferred,low,Crystal Anthurium,Colombia,https://www.gbif.org/species/2872232
100,Epipremnum pinnatum,,Cebu Blue Pothos,Araceae,Medium to Bright,1000,3500,7,16,30,55,1,1,aspca_genus_inferred,low,Centipede tongavine,Southern Asia,https://www.gbif.org/species/2868272
102,Monstera adansonii,,Swiss Cheese Vine,Araceae,Medium to Bright,1000,3500,7,16,30,55,1,1,aspca_genus_inferred,low,Adanson's Monstera,Colombia,https://www.gbif.org/species/2868136
103,Monstera obliqua,,Monstera Obliqua,Araceae,Bright Indirect,2000,6000,7,16,30,55,1,1,aspca_genus_inferred,low,Window-Leaf Monstera,Colombia,https://www.gbif.org/species/2868185
105,Philodendron erubescens,,Blushing Philodendron,Araceae,Medium to Bright,1000,3500,7,16,30,55,1,1,aspca_genus_inferred,low,Philodendron,Colombia,https://www.gbif.org/species/2871297
107,Philodendron hederaceum hederaceum,Philodendron micans,Velvet Leaf Philodendron,Araceae,Medium to Bright,1000,3500,7,16,30,55,1,1,aspca_genus_inferred,low,Sweetheart Plant,Middle America,https://www.gbif.org/species/7228286
108,Philodendron melanochrysum,,Black Gold Philodendron,Araceae,Bright Indirect,2000,6000,7,16,30,55,1,1,aspca_genus_inferred,low,black-gold philodendron,Colombia,https://www.gbif.org/species/2871241
118,Hedera canariensis,,Algerian Ivy,Araliaceae,Medium to Bright,1000,3500,7,16,30,55,1,1,aspca_genus_inferred,low,Algerian ivy,Canary Islands,https://www.gbif.org/species/3036170
120,Polyscias fruticosa,,Ming Aralia,Araliaceae,Bright Indirect,2000,6000,7,16,30,55,1,1,aspca_genus_inferred,low,Ming Aralia,Southern Asia,https://www.gbif.org/species/3035652
124,Chamaedorea seifrizii,,Bamboo Palm,Arecaceae,Medium to Bright,1000,3500,7,16,30,55,,,unknown,medium,Seifriz's Chamaedorea,Middle America,https://www.gbif.org/species/2734708
129,Agave victoriae-reginae,,Queen Victoria Agave,Asparagaceae,Direct Sun,5000,15000,7,16,30,55,,,unknown,low,Queen Victoria Agave,Mexico,https://www.gbif.org/species/2766696
148,Senecio macroglossus,,Wax Ivy,Asteraceae,Bright Indirect,2000,6000,7,15,28,50,1,1,aspca_genus_inferred,medium,Cape-ivy,South Africa,https://www.gbif.org/species/3107720
177,Tradescantia pallida,,Purple Heart,Commelinaceae,Direct Sun,5000,15000,7,16,30,55,1,1,aspca_genus_inferred,low,Wandering Jew,Middle America,https://www.gbif.org/species/2765221
